Chromosome,Map_Type,Position_cM,Position_bp,Group
1,ZhongmuNo.1,99.48,58887605,NotImp
1,ZhongmuNo.1,101.48,59468514,NotImp
1,ZhongmuNo.1,101.48,59576802,NotImp
1,ZhongmuNo.1,101.48,60718566,NotImp
1,ZhongmuNo.1,101.48,60806714,NotImp
1,ZhongmuNo.1,101.48,61077901,NotImp
1,ZhongmuNo.1,101.57,61286598,NotImp
1,ZhongmuNo.1,101.57,61286639,NotImp
1,ZhongmuNo.1,101.57,61429936,NotImp
1,ZhongmuNo.1,101.57,61433153,NotImp
1,ZhongmuNo.1,101.57,61433168,NotImp
1,ZhongmuNo.1,101.57,61433323,NotImp
1,ZhongmuNo.1,101.57,61433336,NotImp
1,ZhongmuNo.1,101.58,61565654,NotImp
1,ZhongmuNo.1,101.58,61565810,NotImp
1,ZhongmuNo.1,101.58,61925736,NotImp
1,ZhongmuNo.1,101.58,61925758,NotImp
1,ZhongmuNo.1,101.58,61925812,NotImp
1,ZhongmuNo.1,101.58,61925945,NotImp
1,ZhongmuNo.1,101.58,61956611,NotImp
1,ZhongmuNo.1,101.58,62240791,NotImp
1,ZhongmuNo.1,102.22,62305756,NotImp
1,ZhongmuNo.1,102.22,62305954,NotImp
1,ZhongmuNo.1,102.23,62306321,NotImp
1,ZhongmuNo.1,102.23,62376841,NotImp
1,ZhongmuNo.1,105.79,62409210,NotImp
1,ZhongmuNo.1,105.79,62501858,NotImp
1,ZhongmuNo.1,105.79,63219106,NotImp
1,ZhongmuNo.1,105.79,63222431,NotImp
1,ZhongmuNo.1,105.79,63351563,NotImp
1,ZhongmuNo.1,105.79,63351580,NotImp
1,ZhongmuNo.1,105.79,63351628,NotImp
1,ZhongmuNo.1,105.8,63356474,NotImp
1,ZhongmuNo.1,105.8,63393059,NotImp
1,ZhongmuNo.1,105.81,63506019,NotImp
1,ZhongmuNo.1,105.81,63708560,NotImp
1,ZhongmuNo.1,105.83,63807288,NotImp
1,ZhongmuNo.1,105.83,63928479,NotImp
1,ZhongmuNo.1,105.83,64837150,NotImp
1,ZhongmuNo.1,105.83,64991122,NotImp
1,ZhongmuNo.1,105.83,64991310,NotImp
1,ZhongmuNo.1,106.6,65131480,NotImp
1,ZhongmuNo.1,106.6,65163870,NotImp
1,ZhongmuNo.1,106.6,65163922,NotImp
1,ZhongmuNo.1,106.6,65225562,NotImp
1,ZhongmuNo.1,106.6,65225619,NotImp
1,ZhongmuNo.1,106.61,65225819,NotImp
1,ZhongmuNo.1,106.61,65310762,NotImp
1,ZhongmuNo.1,106.61,65310893,NotImp
1,ZhongmuNo.1,107.42,65602058,NotImp
1,ZhongmuNo.1,107.42,67407279,NotImp
1,ZhongmuNo.1,107.42,67413026,NotImp
1,ZhongmuNo.1,107.82,67419565,NotImp
1,ZhongmuNo.1,107.82,67467790,NotImp
1,ZhongmuNo.1,107.83,67683876,NotImp
1,ZhongmuNo.1,107.83,67688508,NotImp
1,ZhongmuNo.1,107.83,67728294,NotImp
1,ZhongmuNo.1,109.68,67863718,NotImp
1,ZhongmuNo.1,109.68,67870106,NotImp
1,ZhongmuNo.1,109.68,67966622,NotImp
1,ZhongmuNo.1,109.76,67996780,NotImp
1,ZhongmuNo.1,111.24,67996925,NotImp
1,ZhongmuNo.1,111.24,68214077,NotImp
1,ZhongmuNo.1,112.31,68595143,NotImp
1,ZhongmuNo.1,112.34,68800137,NotImp
1,ZhongmuNo.1,112.34,68844178,NotImp
1,ZhongmuNo.1,112.34,69110023,NotImp
1,ZhongmuNo.1,112.34,69110036,NotImp
1,ZhongmuNo.1,112.64,69110086,NotImp
1,ZhongmuNo.1,112.64,69110140,NotImp
1,ZhongmuNo.1,112.64,69265453,NotImp
1,ZhongmuNo.1,112.64,69434486,NotImp
1,ZhongmuNo.1,112.64,69576781,NotImp
1,ZhongmuNo.1,112.64,69640862,NotImp
1,ZhongmuNo.1,112.83,69753562,NotImp
1,ZhongmuNo.1,113.08,69806663,NotImp
1,ZhongmuNo.1,113.08,69894598,NotImp
1,ZhongmuNo.1,113.08,70563236,NotImp
1,ZhongmuNo.1,113.08,70574975,NotImp
1,ZhongmuNo.1,113.08,70665232,NotImp
1,ZhongmuNo.1,113.08,70714713,NotImp
1,ZhongmuNo.1,113.09,71256057,NotImp
1,ZhongmuNo.1,113.09,71541056,NotImp
1,ZhongmuNo.1,113.09,71541188,NotImp
1,ZhongmuNo.1,113.09,71766579,NotImp
1,ZhongmuNo.1,113.09,71797029,NotImp
1,ZhongmuNo.1,113.09,71800426,NotImp
1,ZhongmuNo.1,113.09,72510791,NotImp
1,ZhongmuNo.1,113.09,72799367,NotImp
1,ZhongmuNo.1,114.1,73273220,NotImp
1,ZhongmuNo.1,115.26,73375024,NotImp
1,ZhongmuNo.1,117.11,73901013,NotImp
1,ZhongmuNo.1,117.11,77118635,NotImp
1,ZhongmuNo.1,119.61,77262183,NotImp
1,ZhongmuNo.1,119.61,77333969,NotImp
1,ZhongmuNo.1,119.61,77342863,NotImp
1,ZhongmuNo.1,119.62,77657784,NotImp
1,ZhongmuNo.1,119.96,77658838,NotImp
1,ZhongmuNo.1,122.66,78002331,NotImp
1,ZhongmuNo.1,122.86,78070684,NotImp
1,ZhongmuNo.1,125.09,78371155,NotImp
1,ZhongmuNo.1,125.09,78451601,NotImp
1,ZhongmuNo.1,125.09,78451789,NotImp
1,ZhongmuNo.1,125.09,78451790,NotImp
1,ZhongmuNo.1,125.09,78556251,NotImp
1,ZhongmuNo.1,125.09,78556278,NotImp
1,ZhongmuNo.1,125.09,78556467,NotImp
1,ZhongmuNo.1,125.1,78678571,NotImp
1,ZhongmuNo.1,125.1,78875659,NotImp
1,ZhongmuNo.1,125.1,78945135,NotImp
1,ZhongmuNo.1,125.1,79003595,NotImp
1,ZhongmuNo.1,125.1,79132807,NotImp
1,ZhongmuNo.1,125.1,79151479,NotImp
1,ZhongmuNo.1,125.1,79151517,NotImp
1,ZhongmuNo.1,127.87,79210694,NotImp
1,ZhongmuNo.1,127.87,79210701,NotImp
1,ZhongmuNo.1,129.7,79362141,NotImp
1,ZhongmuNo.1,129.7,79395030,NotImp
1,ZhongmuNo.1,129.71,79395265,NotImp
1,ZhongmuNo.1,131.44,80049190,NotImp
1,ZhongmuNo.1,131.44,80263951,NotImp
1,ZhongmuNo.1,133.33,80785174,NotImp
1,ZhongmuNo.1,133.33,80787338,NotImp
1,ZhongmuNo.1,133.99,80973308,NotImp
1,ZhongmuNo.1,134.46,80973516,NotImp
1,ZhongmuNo.1,136.54,81861547,NotImp
1,ZhongmuNo.1,136.54,81861594,NotImp
1,ZhongmuNo.1,136.54,82469291,NotImp
1,ZhongmuNo.1,136.54,82469507,NotImp
1,ZhongmuNo.1,138.83,82865383,NotImp
1,ZhongmuNo.1,138.83,82865450,NotImp
1,ZhongmuNo.1,138.83,82865478,NotImp
1,ZhongmuNo.1,138.83,82876140,NotImp
1,ZhongmuNo.1,138.84,83266702,NotImp
1,ZhongmuNo.1,138.84,83556694,NotImp
1,ZhongmuNo.1,138.93,83901987,NotImp
1,ZhongmuNo.1,139.65,84246120,NotImp
1,ZhongmuNo.1,140.07,84365825,NotImp
1,ZhongmuNo.1,140.07,84734787,NotImp
1,ZhongmuNo.1,140.07,84922292,NotImp
1,ZhongmuNo.1,140.07,84922367,NotImp
1,ZhongmuNo.1,140.64,84998017,NotImp
1,ZhongmuNo.1,140.64,85029861,NotImp
1,ZhongmuNo.1,140.64,85423163,NotImp
1,ZhongmuNo.1,140.64,85564393,NotImp
1,ZhongmuNo.1,140.64,85705156,NotImp
1,ZhongmuNo.1,140.65,85705165,NotImp
1,ZhongmuNo.1,146.96,86890411,NotImp
1,ZhongmuNo.1,146.96,86890416,NotImp
1,ZhongmuNo.1,151.67,86918811,NotImp
1,ZhongmuNo.1,151.68,87009608,NotImp
1,ZhongmuNo.1,151.68,87918770,NotImp
1,ZhongmuNo.1,151.68,87918771,NotImp
1,ZhongmuNo.1,151.68,87918808,NotImp
1,ZhongmuNo.1,151.68,87922111,NotImp
1,ZhongmuNo.1,151.68,87922117,NotImp
1,ZhongmuNo.1,151.68,87944021,NotImp
1,ZhongmuNo.1,151.68,88132758,NotImp
1,ZhongmuNo.1,151.68,88163543,NotImp
1,ZhongmuNo.1,151.68,88164314,NotImp
1,ZhongmuNo.1,152.21,88378334,NotImp
1,ZhongmuNo.1,152.86,89264190,NotImp
1,ZhongmuNo.1,152.87,89288558,NotImp
1,ZhongmuNo.1,152.87,89304948,NotImp
1,ZhongmuNo.1,152.87,89608746,NotImp
1,ZhongmuNo.1,152.87,89991966,NotImp
1,ZhongmuNo.1,152.87,90249986,NotImp
1,ZhongmuNo.1,152.87,90250135,NotImp
1,ZhongmuNo.1,152.87,90413773,NotImp
1,ZhongmuNo.1,152.87,90734605,NotImp
1,ZhongmuNo.1,152.87,90869682,NotImp
1,ZhongmuNo.1,152.87,90878943,NotImp
1,ZhongmuNo.1,152.88,91032151,NotImp
1,ZhongmuNo.1,152.88,91244193,NotImp
1,ZhongmuNo.1,152.88,91295269,NotImp
1,ZhongmuNo.1,152.88,91380500,NotImp
1,ZhongmuNo.1,152.88,91613830,NotImp
1,ZhongmuNo.1,152.88,91613900,NotImp
1,ZhongmuNo.1,152.88,91627912,NotImp
1,ZhongmuNo.1,152.88,91779005,NotImp
1,ZhongmuNo.1,152.88,91911541,NotImp
1,ZhongmuNo.1,152.88,92404096,NotImp
1,ZhongmuNo.1,152.89,92404123,NotImp
1,ZhongmuNo.1,153.1,92431137,NotImp
1,ZhongmuNo.1,153.34,92869995,NotImp
1,ZhongmuNo.1,153.34,93274070,NotImp
1,ZhongmuNo.1,153.34,93700157,NotImp
1,ZhongmuNo.1,153.34,94365742,NotImp
1,ZhongmuNo.1,153.34,94784568,NotImp
1,ZhongmuNo.1,153.35,94847994,NotImp
1,ZhongmuNo.1,153.35,94883401,NotImp
1,ZhongmuNo.1,153.58,94886377,NotImp
1,ZhongmuNo.1,153.58,95762495,NotImp
1,ZhongmuNo.1,153.58,95884098,NotImp
1,ZhongmuNo.1,154.01,96147979,NotImp
1,ZhongmuNo.1,154.01,96431682,NotImp
1,ZhongmuNo.1,155.48,96577258,NotImp
1,ZhongmuNo.1,158.29,97493280,NotImp
1,ZhongmuNo.1,159.12,97493325,NotImp
1,ZhongmuNo.1,159.12,97493328,NotImp
1,ZhongmuNo.1,160.87,97668493,NotImp
1,ZhongmuNo.1,160.87,97980040,NotImp
1,ZhongmuNo.1,160.88,97987533,NotImp
1,ZhongmuNo.1,160.88,97987781,NotImp
1,ZhongmuNo.1,160.88,98012126,NotImp
1,ZhongmuNo.1,161.71,98386988,NotImp
1,ZhongmuNo.1,161.71,98387014,NotImp
1,ZhongmuNo.1,161.71,98388135,NotImp
1,ZhongmuNo.1,161.71,98464973,NotImp
1,ZhongmuNo.1,161.71,98497383,NotImp
1,ZhongmuNo.1,161.71,98643086,NotImp
1,ZhongmuNo.1,162.13,99318353,NotImp
1,ZhongmuNo.1,162.13,99338403,NotImp
1,ZhongmuNo.1,162.13,99355649,NotImp
1,ZhongmuNo.1,162.13,99482760,NotImp
1,ZhongmuNo.1,162.13,99482770,NotImp
1,ZhongmuNo.1,162.14,99587117,NotImp
1,ZhongmuNo.1,162.14,99587166,NotImp
1,ZhongmuNo.1,162.14,99743405,NotImp
1,ZhongmuNo.1,162.14,100155653,NotImp
1,ZhongmuNo.1,162.14,100155679,NotImp
1,ZhongmuNo.1,162.14,100190990,NotImp
1,ZhongmuNo.1,162.14,100191058,NotImp
1,ZhongmuNo.1,162.14,100220919,NotImp
1,ZhongmuNo.1,162.14,100221187,NotImp
1,ZhongmuNo.1,163.2,100587671,NotImp
1,ZhongmuNo.1,163.2,100653002,NotImp
1,ZhongmuNo.1,163.2,100653564,NotImp
1,ZhongmuNo.1,163.2,100653568,NotImp
1,ZhongmuNo.1,163.2,100653577,NotImp
1,ZhongmuNo.1,163.2,100664247,NotImp
1,ZhongmuNo.1,163.2,100754921,NotImp
1,ZhongmuNo.1,163.2,100814409,NotImp
1,ZhongmuNo.1,163.2,100814414,NotImp
1,ZhongmuNo.1,163.21,101512933,NotImp
1,ZhongmuNo.1,163.21,101548170,NotImp
1,ZhongmuNo.1,163.21,101630568,NotImp
1,ZhongmuNo.1,163.21,101673556,NotImp
1,ZhongmuNo.1,163.21,101851329,NotImp
1,ZhongmuNo.1,163.21,101886286,NotImp
1,ZhongmuNo.1,163.21,101899629,NotImp
2,ZhongmuNo.1,0,179511,NotImp
2,ZhongmuNo.1,27.69,179865,NotImp
2,ZhongmuNo.1,27.69,289289,NotImp
2,ZhongmuNo.1,27.69,289348,NotImp
2,ZhongmuNo.1,27.7,526068,NotImp
2,ZhongmuNo.1,27.7,659358,NotImp
2,ZhongmuNo.1,27.7,695935,NotImp
2,ZhongmuNo.1,38.12,1066525,NotImp
2,ZhongmuNo.1,38.13,1282739,NotImp
2,ZhongmuNo.1,38.14,1578053,NotImp
2,ZhongmuNo.1,38.14,1698717,NotImp
2,ZhongmuNo.1,38.14,1856740,NotImp
2,ZhongmuNo.1,38.14,1919138,NotImp
2,ZhongmuNo.1,38.14,2236431,NotImp
2,ZhongmuNo.1,38.14,4003902,NotImp
2,ZhongmuNo.1,40.17,5141465,NotImp
2,ZhongmuNo.1,40.18,5141492,NotImp
2,ZhongmuNo.1,40.18,5313757,NotImp
2,ZhongmuNo.1,40.18,6128388,NotImp
2,ZhongmuNo.1,40.18,6128451,NotImp
2,ZhongmuNo.1,40.18,6319610,NotImp
2,ZhongmuNo.1,40.18,6399035,NotImp
2,ZhongmuNo.1,40.18,6399041,NotImp
2,ZhongmuNo.1,40.18,6399113,NotImp
2,ZhongmuNo.1,40.18,7536710,NotImp
2,ZhongmuNo.1,40.18,7536903,NotImp
2,ZhongmuNo.1,44.22,8104469,NotImp
2,ZhongmuNo.1,44.22,8104471,NotImp
2,ZhongmuNo.1,44.22,8104490,NotImp
2,ZhongmuNo.1,44.49,8104519,NotImp
2,ZhongmuNo.1,44.49,8104528,NotImp
2,ZhongmuNo.1,44.49,8104531,NotImp
2,ZhongmuNo.1,62.27,8265884,NotImp
2,ZhongmuNo.1,62.27,8495395,NotImp
2,ZhongmuNo.1,62.27,8495485,NotImp
2,ZhongmuNo.1,62.27,8495533,NotImp
2,ZhongmuNo.1,71.84,8495650,NotImp
2,ZhongmuNo.1,71.84,8943390,NotImp
2,ZhongmuNo.1,71.84,9124584,NotImp
2,ZhongmuNo.1,71.94,9390725,NotImp
2,ZhongmuNo.1,71.94,10175989,NotImp
2,ZhongmuNo.1,71.94,10187950,NotImp
2,ZhongmuNo.1,71.94,10399482,NotImp
2,ZhongmuNo.1,71.95,10427283,NotImp
2,ZhongmuNo.1,71.95,10454031,NotImp
2,ZhongmuNo.1,71.95,10480609,NotImp
2,ZhongmuNo.1,71.95,10893844,NotImp
2,ZhongmuNo.1,71.95,11001295,NotImp
2,ZhongmuNo.1,75.01,11049463,NotImp
2,ZhongmuNo.1,75.01,11170461,NotImp
2,ZhongmuNo.1,77.9,12127437,NotImp
2,ZhongmuNo.1,77.97,12153328,NotImp
2,ZhongmuNo.1,86.07,15163723,NotImp
2,ZhongmuNo.1,89.44,15329211,NotImp
2,ZhongmuNo.1,97.66,15329357,NotImp
2,ZhongmuNo.1,97.73,16039872,NotImp
2,ZhongmuNo.1,97.76,16071039,NotImp
2,ZhongmuNo.1,97.76,16496294,NotImp
2,ZhongmuNo.1,97.76,16554142,NotImp
2,ZhongmuNo.1,97.76,16668411,NotImp
2,ZhongmuNo.1,97.76,16797815,NotImp
2,ZhongmuNo.1,98.41,17720417,NotImp
2,ZhongmuNo.1,98.68,17869820,NotImp
2,ZhongmuNo.1,98.68,17875578,NotImp
2,ZhongmuNo.1,98.68,17972953,NotImp
2,ZhongmuNo.1,98.68,17973314,NotImp
2,ZhongmuNo.1,98.69,18612087,NotImp
2,ZhongmuNo.1,102.11,18995312,NotImp
2,ZhongmuNo.1,105.84,19357549,NotImp
2,ZhongmuNo.1,108.07,19357565,NotImp
2,ZhongmuNo.1,108.07,19357795,NotImp
2,ZhongmuNo.1,108.49,19473606,NotImp
2,ZhongmuNo.1,108.5,19503312,NotImp
2,ZhongmuNo.1,108.5,19503323,NotImp
2,ZhongmuNo.1,108.5,19503361,NotImp
2,ZhongmuNo.1,108.5,19640414,NotImp
2,ZhongmuNo.1,108.5,19640425,NotImp
2,ZhongmuNo.1,108.51,19697246,NotImp
2,ZhongmuNo.1,111.44,19770886,NotImp
2,ZhongmuNo.1,111.44,19872923,NotImp
2,ZhongmuNo.1,111.44,19895710,NotImp
2,ZhongmuNo.1,111.44,19895863,NotImp
2,ZhongmuNo.1,111.44,19896222,NotImp
2,ZhongmuNo.1,111.44,19900489,NotImp
2,ZhongmuNo.1,117.27,20074999,NotImp
2,ZhongmuNo.1,117.27,20109735,NotImp
2,ZhongmuNo.1,119.56,20415547,NotImp
2,ZhongmuNo.1,119.56,20844774,NotImp
2,ZhongmuNo.1,119.56,21656931,NotImp
2,ZhongmuNo.1,119.56,21756550,NotImp
2,ZhongmuNo.1,119.56,21907219,NotImp
2,ZhongmuNo.1,119.56,21910380,NotImp
2,ZhongmuNo.1,119.57,22159545,NotImp
2,ZhongmuNo.1,134.26,23100523,NotImp
2,ZhongmuNo.1,134.82,23838237,NotImp
2,ZhongmuNo.1,134.82,23838254,NotImp
2,ZhongmuNo.1,134.83,23838259,NotImp
2,ZhongmuNo.1,134.89,23842276,NotImp
2,ZhongmuNo.1,134.89,23848622,NotImp
2,ZhongmuNo.1,134.9,23940013,NotImp
2,ZhongmuNo.1,134.9,23940022,NotImp
2,ZhongmuNo.1,134.9,23948096,NotImp
2,ZhongmuNo.1,134.9,24002435,NotImp
2,ZhongmuNo.1,134.9,24002444,NotImp
2,ZhongmuNo.1,134.9,24003426,NotImp
2,ZhongmuNo.1,134.9,24159958,NotImp
2,ZhongmuNo.1,134.9,24160016,NotImp
2,ZhongmuNo.1,134.9,24244925,NotImp
2,ZhongmuNo.1,134.9,24315876,NotImp
2,ZhongmuNo.1,153.37,24315891,NotImp
2,ZhongmuNo.1,153.38,24497665,NotImp
2,ZhongmuNo.1,153.38,25070561,NotImp
2,ZhongmuNo.1,153.38,25142914,NotImp
2,ZhongmuNo.1,169.4,25544916,NotImp
2,ZhongmuNo.1,169.4,25620573,NotImp
2,ZhongmuNo.1,169.4,25682975,NotImp
2,ZhongmuNo.1,169.4,25707768,NotImp
2,ZhongmuNo.1,169.41,25779877,NotImp
2,ZhongmuNo.1,169.41,25954411,NotImp
2,ZhongmuNo.1,172.05,27421606,NotImp
2,ZhongmuNo.1,172.05,27421627,NotImp
2,ZhongmuNo.1,172.05,27421806,NotImp
2,ZhongmuNo.1,172.05,27655878,NotImp
2,ZhongmuNo.1,172.05,27661865,NotImp
2,ZhongmuNo.1,172.05,27662105,NotImp
2,ZhongmuNo.1,172.35,28230419,NotImp
2,ZhongmuNo.1,172.35,28357105,NotImp
2,ZhongmuNo.1,172.35,28399633,NotImp
2,ZhongmuNo.1,172.35,28555431,NotImp
2,ZhongmuNo.1,172.35,28722860,NotImp
2,ZhongmuNo.1,177.4,29039403,NotImp
2,ZhongmuNo.1,181.46,29234700,NotImp
